ID externe,ID,Référence interne,Nom,Quantité en stock,Catégorie de produits/Nom,Fournisseurs,Prix d'achat,Prix de vente
__export__.product_template_26299_71f24cc7,26299,,NOMADS COFFEE COLOMBIA,0.00,All,,0.00,46.92
__export__.product_template_25693_e112c60f,25693,KOSHER138,NON - DAIRY (ALMOND MILK) - ALPRO FRANCE / LAIT D'AMANDE - LITRE,0.00,Special Diet,BON GOUT,4.79,11.90
__export__.product_template_25694_637dde38,25694,KOSHER139,NON - DAIRY (SOYA MILK) - APLRO FRANCE / LAIT DE SOJA - LITRE,0.00,Special Diet,BON GOUT,2.99,5.30
__export__.product_template_25656_31716bfa,25656,KOSHER101,NON DAIRY - YOGHURT ALTERNATIVE (VEGAN) /YAHOURT VEGETAL - 4x125G,0.00,Special Diet,BON GOUT,4.99,12.50
__export__.product_template_22624_5337fe44,22624,BIO066,NOODLE INSTANT EGG - 250G NOODLE INSTANT EGG - 250G,0.00,Asian Products,ASIA FRERES,2.89,4.64
__export__.product_template_19345_56f637a0,19345,THAI12,NOODLES PAD THAI - BAG KIT NOUILLES SAUTEES PAD THAI 300GR,0.00,Asian Products,ASIA FRERES,2.05,4.50
__export__.product_template_25670_3fd23697,25670,KOSHER115,NORI SHEETS (FOR SUSHI) / FEUILLES NORI (POUR SUSHI) - PACK OF 10,0.00,Special Diet,,0.00,6.71
__export__.product_template_21136_4daa612f,21136,ICE0068,NOUGAT HONEY GLACE X 12PC MAGNUM MIEL/NOUGAT X4,0.00,Frozen,METRO,19.35,28.86
__export__.product_template_26061_c23ee29d,26061,,NOUILLE RIZ 1MM 400G-BAMBOU,0.00,All,ASIA FRERES,2.60,5.20
__export__.product_template_26060_9ed2b9eb,26060,,NOUILLE UDON 4X200G - OBEN,0.00,All,ASIA FRERES,8.40,1.77
__export__.product_template_21584_6a8318c7,21584,ENT0083,NUROFEN 400 - PACK OF 12 NUROFEN 400 - PACK OF 12,0.00,Non Food / Hygiene,PHARMACIE,3.36,3.17
__export__.product_template_26307_109eb3c9,26307,PHARMA005,NUROFEN FEMME,0.00,Non Food / Hygiene,,0.00,12.55
__export__.product_template_23270_20e88194,23270,SWT0137,NUT BUTTER BARS PROTEINE BARRES AU BEURRE DE NOIX PROTÃ‰INES,0.00,Dry Goods,METRO,3.75,6.40
__export__.product_template_20922_abd29a01,20922,SWT0049,NUTELLA - 200GR NUTELLA - 200GR,13.00,Dry Goods,CARREFOUR,3.49,6.63
__export__.product_template_20744_620ecf9e,20744,SWT0023,"NUTELLA 1KG
NUTELLA 1KG",0.00,Condiments & Spreads,METRO,1.83,12.99
__export__.product_template_28461_6835c016,28461,SWT131,NUTELLA BUISCUITS,0.00,All,,0.00,5.87
__export__.product_template_26768_e6a1e8a9,26768,SC395,NUTMEG AND MACE 40G - NOIX DE MUSCADE ET SON MACIS 40G,8.00,Dry Goods,,0.00,8.53
